name,parentCategory,enabled,description
Accessories,,true,
Bikes,,true,
Clothing,,true,
Parts,,true,
Scooters,,true,
Lights,Accessories,true,
E-Bikes,Bikes,true,
Kids Bikes,Bikes,true,
Mountain Bikes,Bikes,true,
Eyewear,Clothing,true,
Gloves,Clothing,true,
Pedals and cleats,Parts,true,
Tyres,Parts,true,
Kids Scooters,Scooters,true,
E-MTB,Bikes/E-Bikes,true,
4-6 Yrs,Bikes/Kids Bikes,true,
Hardtail,Bikes/Mountain Bikes,true,
Goggles,Clothing/Eyewear,true,
MTB,Parts/Pedals and cleats,true,
MTB,Parts/Tyres,true,
29,Parts/Tyres/MTB,true,
