source,destination,product
/product/xds-loretta-retro-bike/,/shop#!/XDS-Loretta-Retro-Bike/p/809011431,XDS Loretta Retro Bike
/product/byk-kids-short-finger-cycling-gloves/,/shop#!/h/p/809017724,BYK Kids Short Finger Cycling Gloves
/product/limar-kid-pro-s-helmet/,/shop#!/h/p/809017724,Limar Kid Pro S Helmet
/product/limar/,/shop#!/h/p/809017724,Limar Kid Pro M Helmet
/product/byk-e540-x3i-mtr/,/shop#!/BYK-E-540-x-3i-MTR/p/809035980,BYK E540 x3i MTR
/product/byk-e540-x7-mtr/,/shop#!/BYK-E-540-x-7-MTR/p/809036800,BYK E540 x7 MTR
/product/byk-e540-mtb/,/shop#!/BYK-E-540-MTBD/p/809035445,BYK E540 MTB
/product/byk-e540-mtbg/,/shop#!/BYK-E-250-MTBG/p/809035967,BYK E540 MTBG
/product/byk-kids-bike-stand/,/shop#!/i/p/809018581,BYK Kids Bike Stand
/product/byk-e620-x7-mtr/,/shop#!/BYK-E-620-x-7-MTR/p/809018528,BYK E620 x7 MTR
/product/sks-drink-bottle-team-germany-750ml/,/shop#!/i/p/809018581,SKS Drink Bottle Team Germany 750ml
/product/sks-drink-bottle-team-germany-500ml/,/shop#!/i/p/809018581,SKS Drink Bottle Team Germany 500ml
/product/sks-topcage/,/shop#!/t/p/809016739,SKS Topcage
/product/hollywood-road-runner-4-bike-hitch-rack/,/shop#!/h/p/809017724,Hollywood Road Runner 4 Bike Hitch Rack
/product/helmet-lazer-compact/,/shop#!/h/p/809017724,Helmet Lazer Compact
/product/helmet-lazer-sphere/,/shop#!/h/p/809017724,Helmet Lazer Sphere
/product/helmet-lazer-tonic/,/shop#!/h/p/809017724,Helmet Lazer Tonic
/product/helmet-lazer-coyote/,/shop#!/h/p/809017724,Helmet Lazer Coyote
/product/maxi-micro-deluxe-led-kids-scooter/,/shop#!/i/p/809018581,Maxi Micro Deluxe LED Kids Scooter Purple
/product/micro-scooter-bike-bell/,/shop#!/i/p/809018581,Micro Scooter Bike Bell
/product/micro-kids-knee-elbow-pads-pattern/,/shop#!/i/p/809018581,Micro Kids Knee Elbow Pads Pattern
/product/micro-kids-knee-elbow-pads-black/,/shop#!/i/p/809018581,Micro Kids Knee Elbow Pads Black
/product/100-fortis-knee-guard-black/,/shop#!/i/p/809018581,100% FORTIS Knee Guard Black
/product/100-fortis-elbow-guard-black/,/shop#!/i/p/809018581,100% Fortis Elbow Guard Black
/product/100-teratec-plus-knee-guard-black/,/shop#!/t/p/809016739,100% TERATEC PLUS Knee Guard Black
/product/100-teratec-plus-elbow-guard-black/,/shop#!/t/p/809016739,100% TERATEC PLUS Elbow Guard Black
/product/100-teratec-knee-guard-black/,/shop#!/t/p/809016739,100% TERATEC Knee Guard Black
/product/100-teratec-elbow-guards-black/,/shop#!/t/p/809016739,100% TERATEC Elbow Guards Black
/product/100-ridecamp-knee-guard-black-grey/,/shop#!/i/p/809018581,100% RIDECAMP Knee Guard Black/Grey
/product/100-ridecamp-elbow-guard-black-grey/,/shop#!/i/p/809018581,100% RIDECAMP Elbow Guard Black/Grey
/product/100-tarka-vest-black/,/shop#!/t/p/809016739,100% TARKA Vest Black
