id,name,slug,sku,price,regular_price,sale_price,stock,stock_status,weight,categories,description,short_description,image_urls,old_url
6248,XDS Loretta Retro Bike,xds-loretta-retro-bike,,799,799,,,instock,,Bikes; Brands > XDS; Bikes > Commuter &amp; Urban,"<h3>SPECIFICATIONS\r
<strong>COLOURS Ivory, Black, Blue, Mint, Pink, Rose Gold, White</strong>\r
<strong>FRAME SIZES 15\"", 17\"", 19\""</strong>\r
<strong>FRAME XDS Alloy 6061</strong>\r
<strong>FORK XDS Hi/Ten Steel</strong>\r
<strong>HANDLEBAR XDS Alloy (W:610mm H:66mm 43° 25.4mm)</strong>\r
<strong>GRIPS CIONILI brown Leather look</strong>\r
<strong>STEM XDS Alloy/Steel (22.2 x 180mm x 1.8T E:80mm 30° 25.4mm)</strong>\r
<strong>SEATPOST XDS Alloy (27.2x300mm)</strong>\r
<strong>SEAT CLAMP XDS A","<p style=\""text-align: center;\"">XDS Loretta Retro Bike</p>\r\n&nbsp;\r\n\r\nDefine your style with the XDS Loretta retro bike. Make a statement with your choice of 6 vibrant colours, colour matched f",http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18BLU_media-02_e6470ef7-226a-4ca5-8be0-219f0f188921_900x.jpg|http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18IVY_media-02_22fcacb9-0db0-479c-90f6-d35ec7a1c89b_900x.jpg|http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18MINT_media-02_c7ee5132-314f-45f2-9a20-a9c63c76cf9e_900x.jpg|http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18PK_media-02_94686f9c-0221-4911-afd9-45299c579abc_900x.jpg|http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18BK_media-02_f70a80eb-69ae-4615-bf68-d95600346fdd_900x.jpg|http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18WHT_media-02_900x.jpg|http://cranks.com.au/wp-content/uploads/2021/09/BIKLORETTA18ROSEG_media-02_93acac89-e1f1-44a1-b3db-fa0a4bf7a58c_900x.jpg,/product/xds-loretta-retro-bike/
6396,BYK Kids Short Finger Cycling Gloves,byk-kids-short-finger-cycling-gloves,,20,20,,,instock,,Clothing > Gloves; Gift Ideas; Clothing; Gift Ideas > Gifts For Kids,,"<p style=\""text-align: center;\""><strong><u>BYK Kids Short Finger Cycling Gloves</u></strong></p>\r\n<strong>Designed just for kids, ByK gloves fit well, like a kids glove should!</strong>\r\n\r\nWe h",http://cranks.com.au/wp-content/uploads/2021/09/byk-kids-fingerless-bicycle-glove-blue-600sq_1_1800x1800.jpg|http://cranks.com.au/wp-content/uploads/2021/09/byk-kids-fingerless-bicycle-glove-red-600sq_1_1800x1800.jpg|http://cranks.com.au/wp-content/uploads/2021/09/byk-kids-fingerless-bicycle-glove-pink-600sq_1_1800x1800.jpg|http://cranks.com.au/wp-content/uploads/2021/09/img_9998_1_1800x1800.png|http://cranks.com.au/wp-content/uploads/2021/09/img_9996_1_1800x1800.png,/product/byk-kids-short-finger-cycling-gloves/
6402,Limar Kid Pro S Helmet,limar-kid-pro-s-helmet,,79.00,79.00,,,instock,,Helmets > Kids helmets; Helmets; Brands > Limar,,"<p style=\""text-align: center;\""><strong><u>Limar kid Pro S Helmet</u></strong></p>\r\nTECHNOLOGY Monoshell in-mould – Superlight\r\nAIR VENTS 11 air vents\r\nSIZING SYSTEM Competition + Fit-System wi",http://cranks.com.au/wp-content/uploads/2021/09/main_limar_kid_pro_s.jpg,/product/limar-kid-pro-s-helmet/
6404,Limar Kid Pro M Helmet,limar,,79.00,79.00,,,instock,,Helmets > Kids helmets; Helmets; Brands > Limar,,"<p style=\""text-align: center;\""><b><u>Limar Kid Pro M Helmet</u></b></p>\r\nTECHNOLOGY Monoshell in-mould – Superlight\r\nAIR VENTS 11 air vents\r\nSIZING SYSTEM Competition + Fit-System with height ",http://cranks.com.au/wp-content/uploads/2021/09/main_limar_kid_pro_m.jpg,/product/limar/
6415,BYK E540 x3i MTR,byk-e540-x3i-mtr,,689,689,,,instock,,7-11 Yrs; Bikes; Bikes > Mountain Bikes,"<p style=\""text-align: left;\"">Specifications</p>\r
Colours: Polished Alloy/Black\r
\r
FRAME : Butted Alloy Frame, Low Gravity Concept Design\r
GEARS: Shimano 3 speed internal gears\r
WHEELS: Dynamic Advantage Tall Alloy Wheels, Reinforced 36 Hole with Toughnut Eyelets\r
Tyres: Low-Profile, Low-Resistance Design with Tough Tubes\r
Brakes: Alloy Tektro Front &amp; Rear Calibrated V brakes\r
Brake Levers: Alloy, Adjustable Short Reach\r
Saddle: Comfort Midi Deluxe\r
Handlebars: Custom Width Low Ri","<h2 style=\""text-align: center;\""><u>BYK E540 x3i MTR</u></h2>\r\n<p style=\""text-align: center;\"">Sale price until Cranks stock runs out</p>\r\nThis new model introduces a range of bikes that has the",http://cranks.com.au/wp-content/uploads/2021/10/540x3i_MTR_1_1800x1800.jpg,/product/byk-e540-x3i-mtr/
6417,BYK E540 x7 MTR,byk-e540-x7-mtr,,799,799,,,instock,,7-11 Yrs; Bikes; Bikes > Mountain Bikes,"Specifications\r
\r
Colours: Titanium/Dark Blue\r
\r
FRAME : Butted Alloy Frame, Low Gravity Concept Design\r
GEARS: Microshift 7 speed gears\r
WHEELS: Dynamic Advantage Tall Alloy Wheels, Reinforced 36 Hole with Toughnut Eyelets\r
Tyres: Low-Profile, Low-Resistance Design with Tough Tubes\r
Brakes: Alloy Tektro Front &amp; Rear Calibrated V brakes\r
Brake Levers: Alloy, Adjustable Short Reach\r
Saddle: Comfort Midi Deluxe\r
Handlebars: Custom Width Low Rise V-Bars","<h2 style=\""text-align: center;\""><strong><u>BYK E540 x7 MTR</u></strong></h2>\r\n<p style=\""text-align: center;\"">Sale price until Cranks stock runs out</p>\r\nThis new model introduces a range of bi",http://cranks.com.au/wp-content/uploads/2021/10/E540x7MTR2021front_23cdea2c-c00b-4278-a040-54d56587dbf3_1800x1800.jpg,/product/byk-e540-x7-mtr/
6422,BYK E540 MTB,byk-e540-mtb,,879,879,,,instock,,7-11 Yrs; Bikes,"Specifications\r
\r
Colour: Matte Black\r
\r
WEIGHT: 11.5kg\r
FRAME : Butted Alloy Frame, Low Gravity Concept Design, Lockout Suspension Forks\r
GEARS: Microshift Rapidfire 9 Speed Trigger Shifter Gears\r
WHEELS: Reinforced Alloy Wheels with Machined Braking Surface for Greater Power\r
Tyres: Lightweight Micro Knobby Design with Tough Tubes\r
Brakes: Alloy Tektro Front &amp; Rear Calibrated V brakes\r
Brake Levers: Max Power Alloy Tektro Custom Sized Levers\r
Saddle: Adjustable, Comfort Midi+ De","<h2 style=\""text-align: center;\""><b><u>BYK E540 MTB</u></b></h2>\r\n<h4>THE BEST MOUNTAIN BIKE FOR THE FUN AND ADVENTUROUS KID.</h4>\r\n<h4>510MTB | AGE: 7 - 11 YEARS | HEIGHT: 130 - 160 CMS</h4>\r\n",http://cranks.com.au/wp-content/uploads/2021/10/E540MTB2021front_1800x1800.jpg,/product/byk-e540-mtb/
6424,BYK E540 MTBG,byk-e540-mtbg,,879,879,,,instock,,7-11 Yrs; Bikes; Bikes > Mountain Bikes,"Specifications\r
\r
Colour: Matte Grey\r
\r
WEIGHT: 11.5kg\r
FRAME : Butted Alloy Frame, Low Gravity Concept Design, Lockout Suspension Forks\r
GEARS: Shimano Rapidfire 9 Speed Trigger Shifter Gears\r
WHEELS: Reinforced Alloy Wheels with Machined Braking Surface for Greater Power\r
Tyres: Lightweight Micro Knobby Design with Tough Tubes\r
Brakes: Alloy Tektro Front &amp; Rear Calibrated V brakes\r
Brake Levers: Max Power Alloy Tektro Custom Sized Levers\r
Saddle: Adjustable, Comfort Midi+ Deluxe","<h2 style=\""text-align: center;\""><strong><u>BYK E540 MTBG</u></strong></h2>\r\n<p style=\""text-align: center;\""></p>\r\n\r\n<h4>THE BEST MOUNTAIN BIKE FOR THE FUN AND ADVENTUROUS KID.</h4>\r\n<h4>510",http://cranks.com.au/wp-content/uploads/2021/10/E540MTBG2021front_1800x1800.jpg,/product/byk-e540-mtbg/
6432,BYK Kids Bike Stand,byk-kids-bike-stand,,16.00,16.00,,,instock,,Parts,"Sizes:\r
\r
E250 Rear Axle Mounted\r
\r
E450\r
\r
E540","<h2 style=\""text-align: center;\""><u>BYK Kids Bike Stand</u></h2>\r\nByK has developed specific kickstands to suit our range of bikes that easily mount to the frame.\r\n\r\nAvailable in three differen",http://cranks.com.au/wp-content/uploads/2021/10/image_61242bee-c111-44fd-adce-a9790ff7a6ba_1800x1800.jpg|http://cranks.com.au/wp-content/uploads/2021/10/e-350-byk-kick-stand-for-kids-bike_1_1800x1800.jpg,/product/byk-kids-bike-stand/
6439,BYK E620 x7 MTR,byk-e620-x7-mtr,,799,799,,,instock,,10-15 Yrs; Bikes,"Specifications\r
\r
Colour: Titanium/Dark Blue\r
\r
WEIGHT: 13.1kg\r
FRAME : Butted Alloy Frame, Low Gravity Concept Design\r
GEARS: Microshift 7 speed gears\r
WHEELS: Dynamic Advantage Tall Alloy Wheels, Reinforced 36 Hole with Toughnut Eyelets\r
Tyres: Low-Profile, Low-Resistance Design with Tough Tubes\r
Brakes: Alloy Tektro Front &amp; Rear Calibrated V brakes\r
Brake Levers: Alloy, Adjustable Short Reach\r
Saddle: Comfort Midi Deluxe\r
Handlebars: Custom Width Low Rise V-Bars","<h2 style=\""text-align: center;\""><b><u>BYK E620 x7 MTR</u></b></h2>\r\nThis new model introduces a range of bikes that has the advantages of both Mountain and Road style. Fitting the potential of rid",http://cranks.com.au/wp-content/uploads/2021/10/E620x7MTR2021front_1800x1800.jpg,/product/byk-e620-x7-mtr/
